Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,growth
Nauru,NRU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11750.01169,12095.29702,0.029385956
New Zealand,NZL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,43039.71993,43810.87107,0.017917197
OECD members,OED,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45048.09208,46331.57805,0.028491461
Oman,OMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29289.60764,28507.47622,-0.026703376
Other small states,OSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23259.68307,23754.38924,0.021268827
Pakistan,PAK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4855.229666,4898.05057,0.008819542
Panama,PAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,31805.5379,32850.81935,0.032864763
Peru,PER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13093.75526,13416.43663,0.024643913
Philippines,PHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8723.546609,9302.385298,0.066353596
Palau,PLW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18912.53477,18357.39537,-0.029352988
Papua New Guinea,PNG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4295.509078,4547.563765,0.058678653
Poland,POL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,31978.53115,34151.79281,0.067960021
Pre-demographic dividend,PRE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3575.732752,3657.542454,0.022879143
Puerto Rico,PRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34947.17274,36045.1049,0.031416909
"Korea, Dem. People's Rep.",PRK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Portugal,PRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34931.7846,36760.12281,0.052340246
Paraguay,PRY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13163.50253,13246.46176,0.006302216
West Bank and Gaza,PSE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6472.121785,6495.209267,0.00356722
Pacific island small states,PSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7592.241132,7644.543026,0.006888861
Post-demographic dividend,PST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,49451.1314,51004.70862,0.031416414
French Polynesia,PYF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Qatar,QAT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,93186.26081,94028.59768,0.009039282
Romania,ROU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29250.95126,32358.33486,0.106231882
Russian Federation,RUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28763.51663,29181.36322,0.014526965
Rwanda,RWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2139.636413,2325.407917,0.086823865
South Asia,SAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6195.761491,6499.957528,0.049097441
Saudi Arabia,SAU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48756.19295,49040.34295,0.005827978
Sudan,SDN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4258.775161,4122.526685,-0.031992409
Senegal,SEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3395.533931,3545.10034,0.04404798
Singapore,SGP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,100126.0236,101649.0749,0.015211343
Solomon Islands,SLB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2765.502634,2780.637751,0.005472827
Sierra Leone,SLE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1703.810228,1794.314803,0.053118929
El Salvador,SLV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8825.451749,9164.346123,0.038399663
San Marino,SMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,60886.48586,,
Somalia,SOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Serbia,SRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17735.98592,18929.90742,0.067316331
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3824.652701,3901.596825,0.020117938
South Sudan,SSD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Sub-Saharan Africa,SSF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3849.086623,3926.788815,0.020187177
Small states,SST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21021.30173,21485.53529,0.022083959
Sao Tome and Principe,STP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4090.632657,4145.227038,0.013346195
Suriname,SUR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17039.68568,17256.02045,0.012695937
Slovak Republic,SVK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,31557.5327,32544.96091,0.031289779
Slovenia,SVN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,38915.64196,41193.84204,0.058542015
